   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
       52    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amax)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(amin)
      168    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(any)
   186786    0.309    0.000    2.018    0.000 <__array_function__ internals>:2(argmax)
       20    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(around)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
        8    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_1d)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_3d)
       45    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(broadcast_arrays)
        8    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(clip)
      207    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(column_stack)
      230    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
  1261681    1.129    0.000    3.085    0.000 <__array_function__ internals>:2(copyto)
       17    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diff)
       99    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
   231246    0.348    0.000    5.001    0.000 <__array_function__ internals>:2(expand_dims)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(extract)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(full_like)
       34    0.000    0.000    0.016    0.000 <__array_function__ internals>:2(linspace)
       50    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
      896    0.002    0.000    0.025    0.000 <__array_function__ internals>:2(prod)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ptp)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel_multi_index)
       46    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(reshape)
       34    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
       20    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(round_)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(sort)
   231246    0.423    0.000    5.055    0.000 <__array_function__ internals>:2(sum)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(take)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(tile)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(unravel_index)
  922/392    0.001    0.000    0.655    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      196    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      141    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      196    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    183/7    0.000    0.000    1.702    0.243 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1001    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      520    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      480    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(__eq__)
      254    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
      130    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      130    0.000    0.000    0.129    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
    130/7    0.001    0.000    1.700    0.243 <frozen importlib._bootstrap>:663(_load_unlocked)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      130    0.001    0.000    0.059    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
    130/6    0.001    0.000    1.705    0.284 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   141/12    0.002    0.000    1.705    0.142 <frozen importlib._bootstrap>:978(_find_and_load)
    14/12    0.000    0.000    0.069    0.006 <frozen importlib._bootstrap>:994(_gcd_import)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        6    0.000    0.000    0.124    0.021 <frozen importlib._bootstrap_external>:1040(create_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1087(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(_get_parent_path)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1101(_recalculate)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1114(__iter__)
